0.00 2.29	LENORE: 	[Disgusting].
524.44 525.22	LENORE: 	and that there were- %,
525.22 525.55	        	.. gonna be,
525.55 526.05	        	.. all sorts of,
526.05 530.31	        	.. (H) .. [parasitic] ... relatives ... distant or .. [2whatever2].
526.55 527.55	ALINA:  	          [(SWALLOW)]
529.85 530.41	        	                                                      [2Like ~Jonathan2]?
530.41 532.01	LENORE: 	(H) [3.. coming up and saying3],
531.21 532.56	ALINA:  	    [3(Hx) (TSK) Did she3] tell you about ~Jonathan?
532.56 533.56	LENORE: 	... Yes.
533.56 534.96	        	... [Trying to get him a jo=b]?
533.76 534.81	ALINA:  	    [(H)=]
534.96 535.71	        	.. Oh yeah.
535.71 536.21	        	(Hx) Well,
536.21 537.31	        	then see that's another thing.
537.31 538.46	LENORE: 	... She doesn't understand it.
538.46 538.71	        	.. Well,
538.71 539.48	ALINA:  	[!Tommy ~Spencer].
539.04 539.94	LENORE: 	[(H) <Q Well why][2= Q>2].
539.81 539.96	ALINA:  	                 [2(Hx)2]=
539.96 540.27	LENORE: 	~Alin- --
540.27 540.89	        	Uh .. !Cathy,
540.89 541.67	        	don't you understand that,
541.67 541.95	        	.. you know,
541.95 542.45	        	things are different now,
542.45 544.14	        	you have this= ... mega house,
544.14 544.69	        	.. and uh,
544.69 545.19	        	<@ you know,
545.19 545.84	        	you have this @>,
545.84 546.06	ALINA:  	[(H)]
546.00 546.17	LENORE: 	[you know],
546.17 546.78	        	[2things are different.
546.17 546.48	ALINA:  	[2But they --
546.78 547.03	LENORE: 	(H)=2]
546.48 546.78	ALINA:  	they th- --
546.78 547.08	        	the- --
547.08 548.08	        	they kind of thrive on that2].
548.08 549.83	        	They like having people= having to owe th- --
549.83 551.33	        	That's part of the reason they're not burning their bridges,
551.33 551.53	        	right?
551.53 551.98	        	(H)[=]
551.73 551.88	LENORE: 	   [@]
551.98 552.33	ALINA:  	.. S[2o,
552.22 552.73	LENORE: 	[2To whe=re2].
552.33 552.78	ALINA:  	@2]
552.78 555.38	LENORE: 	@@ [3That is3] a great [4@line @@ @(H)4].
552.78 553.23	ALINA:  	   [3To where3].
553.23 555.08	        	                       [4Is that hilarious.
555.08 556.44	        	That's4] .. typical ~Thompson.
556.44 557.44	        	.. [5He is so5] funny.
556.59 557.04	LENORE: 	   [5(Hx)=5]
557.44 558.33	ALINA:  	(H) But um,
558.33 560.08	        	(SWALLOW) <PAR my husband.
560.08 560.93	        	... Not your professor PAR>.
560.93 561.66	LENORE: 	(Hx[=])
561.19 561.49	ALINA:  	   [Um,
561.49 564.61	        	@]@@@@@@@@@@@@
564.61 565.80	        	(H) No=.
565.80 567.65	        	.. For this stupid [New Year's Eve party] then,
566.72 567.48	LENORE: 	                   [(H)]
567.65 568.50	ALINA:  	.. !Tommy ~Spencer,
568.50 569.00	        	.. who's up there,
569.00 570.50	        	who y- .. was ~Jonathan and !Loren's best friend,
570.50 570.75	        	right?
570.75 572.13	        	(H) (Hx) He,
572.13 573.70	        	X opens his big mouth to ~Jonathan,
573.70 575.25	        	that !Cathy and !Jawahar are having this party.
575.25 576.10	        	So !Cathy calls me up,
576.10 577.70	        	and she wants ~Jonathan's ph- .. address.
577.70 577.92	        	And I go,
577.92 578.75	        	for what.
578.75 581.65	        	... (H) She goes well we [have to invite him to the= New Year's Eve party].
579.75 581.61	LENORE: 	                         [(H)=]
581.65 582.55	ALINA:  	And I go why=.
582.55 584.41	        	.. She goes well !Tommy ~Spencer opened his big mouth.
584.41 584.71	        	And I said,
584.71 585.11	        	oh.
585.11 586.61	        	.. So you're going to host them are you?
586.61 588.14	        	... (H) She goes what do you mean,
588.14 588.59	        	host them.
588.59 590.29	        	I said if you invite them up there for a party,
590.29 591.46	        	.. (H) they're gonna assume,
591.46 592.39	        	that they are staying with you,
592.39 592.89	        	right?
592.89 594.83	        	... She goes <VOX no they're not.
594.83 595.18	        	nya= VOX>.
595.18 595.40	        	And I said,
595.40 596.45	        	well that's what they're gonna think.
596.45 596.80	        	.. And I said,
596.80 597.60	        	if you invite them,
597.60 599.20	        	you'll also have to invite ~Liza and ~Antonio.
599.20 600.45	        	You want them staying at the house too?
600.45 602.70	        	... (H) So next thing you know,
602.70 603.16	        	they dropped --
603.16 603.91	        	At least that bridge,
603.91 605.41	        	they weren't too unhappy about burning.
605.41 605.71	LENORE: 	Hm,
605.71 606.33	        	[God].
605.97 606.27	ALINA:  	[(H)]
606.33 608.15	        	.. (SWALLOW) (TSK) But !Keith and !Sally,
608.15 609.40	        	those two b=- .. drips,
609.40 611.15	        	(H) the one that told me I was shoveling my food,
611.15 611.90	        	and I didn't need a fork,
611.90 613.33	LENORE: 	@[@@@ @@@]
612.09 612.56	ALINA:  	 [um,
612.56 613.33	        	@@@]
613.33 615.13	        	(H) They're friends with this other friend of theirs,
615.13 616.23	        	and they're trying to [% --
615.88 616.78	LENORE: 	                      [(H)=]
616.23 616.68	ALINA:  	.. Th- th- --
616.68 617.88	        	That] they don't talk to anymore,
617.88 618.23	        	and I mean,
618.23 619.85	        	!Campbell's a .. cocaine user,
619.85 620.30	        	abuser,
620.30 620.60	        	dealer,
620.60 621.50	        	that's all he does.
621.50 622.85	        	(H) !Campbell's a lawyer.
622.85 623.74	        	... You know,
623.74 624.04	        	he's just,
624.04 625.24	        	... (H) no good.
625.24 626.59	        	(H) So,
626.59 627.29	        	... he- --
627.29 628.62	        	@@@ They're trying to,
628.62 629.27	        	b=- you know,
629.27 630.67	        	.. <BR have them be friends again BR>.
630.67 633.36	        	... Well what .. what for,
633.36 633.95	        	!Cathy.
633.95 635.50	        	... Why are you gonna go --
635.50 636.74	        	.. They were gonna go [to this dinner party,
636.12 637.42	LENORE: 	                      [(H)=]
636.74 637.47	ALINA:  	Saturday night],
637.47 638.02	        	.. to see them,
638.02 638.32	        	I go,
638.32 639.32	        	what are you gonna do that for.
639.32 640.32	        	... Who cares.
640.32 641.66	        	(H)=
641.66 643.71	LENORE: 	... % Does she have any friends you think?
643.71 644.26	ALINA:  	(H) [No].
644.11 644.43	LENORE: 	    [<X up there X>]?
644.43 645.08	ALINA:  	... No.
645.08 645.82	LENORE: 	... Why.
645.82 647.01	ALINA:  	.. (H) !Cathy --
647.01 648.31	        	She's not a good friend herself.
648.31 650.05	LENORE: 	!Jawahar's a really [nice guy].
649.14 650.07	ALINA:  	                    [(H)=]=
650.07 651.17	LENORE: 	... [2He is a nice guy2].
650.42 650.82	ALINA:  	    [2He is,
650.82 651.02	        	but2],
651.17 653.52	        	.. he doesn't understand how to mix friends at all.
653.52 654.49	        	.. We already went through that.
654.49 655.90	        	Wh=en I first got back from Italy,
655.90 656.70	        	and I was up [there,
656.35 656.65	LENORE: 	             [(SWALLOW)]
656.70 657.02	ALINA:  	.. he --
657.02 658.92	        	we were friends] with this one Australian guy,
658.92 661.60	        	.. and he was friends with this other .. idiot from New Zealand,
661.60 662.14	        	!Dennis.
662.14 663.03	        	(H) And one night,
663.03 663.38	        	he figured,
663.38 663.63	        	<VOX oh,
663.63 664.85	        	both part of the same world.
664.85 665.11	        	You know,
665.11 665.78	        	f- New Zealand,
665.78 666.33	        	Australia VOX>.
666.33 669.13	        	(H) So he= invited Doctor !Spargo out with !Dennis.
669.13 670.51	        	Well I didn't get along with !Dennis at all,
670.51 671.43	        	he was a jerk.
671.43 672.48	        	.. I did not like him.
672.48 673.65	        	... Period.
673.65 674.95	        	(H) And !Spargo was okay.
674.95 676.40	        	.. (H) And we go out,
676.40 677.00	        	... and,
677.00 677.32	        	@(Hx)
677.32 678.07	        	.. or we went out,
678.07 678.82	        	.. and these guy- --
678.82 680.92	        	... they were at each other's throats,
680.92 683.12	        	<MRC the whole= ... ni=ght ... lo=ng.
683.12 685.19	        	... Competition .. galore MRC>.
685.19 686.67	LENORE: 	... Really.
686.67 687.22	ALINA:  	.. Oh yeah.
687.22 689.17	        	.. Each one was fighting for our affection[s].
688.99 689.09	LENORE: 	                                          [%]
689.17 691.39	ALINA:  	... That was very apparent.
691.39 692.59	        	I knew that was gonna happen.
692.59 694.04	        	(H) Plus they didn't like each other.
694.04 694.99	        	(H) !Spar- --
694.99 696.14	        	Well !Spargo was ol=der,
696.14 696.80	        	... you know,
696.80 697.55	        	and he was real bright,
697.55 699.00	        	and he knew that this guy was a jerk.
699.00 700.98	        	... If we went to parties,
700.98 703.16	        	and there was somebody who came up to try= to talk to us,
703.16 704.62	        	(H) he'd keep em away.
704.62 705.81	        	.. X Just like a little t-,
705.81 706.07	        	um,
706.07 707.02	        	Australian sheep dog.
707.02 708.30	        	... Running around.
708.30 709.45	        	.. <VOX rar rar rar rar rar [rar VOX>].
709.17 710.32	LENORE: 	                            [@@]@@ @@[2@@2]
710.14 711.39	ALINA:  	                                     [2All2] this [3protective stuff3] going on.
710.44 710.99	>ENV:   	                                                  [3((MICROPHONE))3]
711.39 712.79	ALINA:  	... [4It was a lot of fun4].
712.07 712.90	LENORE: 	    [4(H)=4]
712.90 713.70	ALINA:  	.. Whoops,
713.70 715.17	        	... I'm sorry,
715.17 716.12	        	<<MIC XX knocked me off.
716.12 718.15	        	... MIC>> %But,
718.15 722.55	        	... (SWALLOW) (TSK) (H) !Cathy and !Jawahar don't understand how to mix their friends at all.
722.55 724.41	        	<<MIC ... They don't understand,
724.41 725.51	        	that it's also okay,
725.51 728.96	        	.. not to have .. (H) everybody MIC>> at the same party.
728.96 730.14	        	... [(H)]
729.55 730.88	LENORE: 	    [(H)] Is [2she work2]ing,
730.31 730.91	ALINA:  	             [2You can't2].
730.91 731.91	LENORE: 	or [3doing anything3].
731.16 731.81	ALINA:  	   [3(Hx) No,
731.91 733.26	        	she3] works [4for4] !Jawahar,
732.33 732.53	LENORE: 	            [4(THROAT) (THROAT)4]
733.26 733.46	ALINA:  	but,
733.46 734.24	LENORE: 	[(Hx)]
733.85 735.48	ALINA:  	[(Hx)] you know (Hx),
735.48 736.56	LENORE: 	@[2@@2]@
735.79 736.56	ALINA:  	 [2so then um2],
736.56 737.46	LENORE: 	<@ What does this mean @>.
737.46 737.81	        	(H)
737.81 740.28	ALINA:  	(DRINK) Well,
740.28 741.36	        	she [answers phones],
740.47 740.87	LENORE: 	    [Wasn't she --
740.87 742.32	        	She] said she wanted to go back to schoo=l,
742.32 742.82	        	or= something,
742.82 743.87	        	do something with her life,
743.87 744.12	        	or,
744.12 745.85	        	(H) [she's too into computers].
744.56 746.46	ALINA:  	    [(H)= (Hx)=]
746.46 748.34	        	(H) ... They're boring.
748.34 751.68	LENORE: 	@[@@@@@@@@@@ @]
748.34 748.82	ALINA:  	 [You know,
748.82 750.05	        	aren't they boring,
750.05 751.45	        	they're so boring].
751.68 752.00	LENORE: 	[2@(H)2]
751.84 752.79	ALINA:  	[2(H) I2] mean it's like,
752.79 753.66	        	who care[3s.
753.37 754.94	LENORE: 	        [3@@@@@@@ @3]
753.66 754.24	ALINA:  	No offense,
754.24 756.49	        	but I think that you can3] get .. caught up in computers,
756.49 756.69	        	like,
756.69 757.08	        	within,
757.08 757.31	        	[what].
757.14 757.35	LENORE: 	[@@]
757.35 758.63	ALINA:  	Five [2weeks or something?
757.91 760.76	LENORE: 	     [2@@@@@@@@@@ (H)=2]
758.63 760.73	ALINA:  	(H)= .. You gotta sit there2],
760.73 760.98	        	and,
760.98 762.06	        	(Hx) you you know,
762.06 762.76	        	oh[= you] --
762.21 763.06	LENORE: 	  [you space out] on it.
763.06 764.36	        	She's like talking about RO=M,
764.36 765.26	        	and .. RA=M,
765.26 765.46	        	and,
765.46 765.76	        	.. [you know,
765.51 767.17	ALINA:  	   [(SNORE) (SNORE)]=
765.76 766.09	LENORE: 	and she --
766.09 767.04	        	@@ <@ I know @>].
767.04 768.64	        	@ She's [2p=assionate2] about it.
767.64 768.29	ALINA:  	        [2(Hx)2]
768.64 769.19	LENORE: 	<@ I'm [3like @>3],
768.81 769.07	ALINA:  	       [3%3]
769.19 770.09	LENORE: 	<SM I can't relate.
770.09 770.96	        	Lea[ve me SM> @alone.
770.22 771.37	ALINA:  	   [I can't relate at all=,
770.96 771.80	LENORE: 	@@@]
771.37 771.66	ALINA:  	I just --
771.66 772.51	        	I] don't care=.
772.51 773.56	        	.. I really don't care.
773.56 774.01	        	(H) I --
774.01 775.06	        	This party I went to Friday night,
775.06 777.06	        	where !Joy was jamming on that harmonica?
777.06 777.61	        	That was absolute- --
777.61 778.21	        	Well first of all,
778.21 779.11	        	it's %paddlers.
779.11 779.41	        	And I thought,
779.41 779.66	        	<Q oh=,
779.66 780.71	        	it's going to be b=oring,
780.71 781.76	        	I don't wanna g=o= Q>,
781.76 782.81	        	(H) ~Hector wouldn't go.
782.81 783.22	        	.. He said,
783.22 784.12	        	<VOX I'm working late ~Lina.
784.12 784.82	        	You go if you want VOX>.
784.82 786.38	        	(H) O=kay sweets,
786.38 787.03	        	I'll go if I want.
787.03 787.48	        	And I don't --
787.48 788.58	        	.. !Joy I like.
788.58 789.73	        	... Cause she's really interesting.
789.73 791.68	        	.. But a lot of those other paddlers are idiots.
791.68 792.93	        	... I did not wanna go.
792.93 793.98	        	... So I walk in,
793.98 794.88	        	she's changing apartments,
794.88 795.93	        	she's moving into her own condo.
795.93 797.03	        	(H) I walk in,
797.03 798.18	        	and the first hint that there's --
798.18 800.21	        	% this is gonna be something a little bit unusual,
800.21 801.56	        	is there's all these helium balloons?
801.56 801.91	        	.. ut- --
801.91 803.06	        	.. up at the ceiling?
803.06 806.58	        	.. (H) With X- uh metallic= color=ed streamers coming down,
806.58 807.28	        	three streamers,
807.28 807.91	        	each balloon,
807.91 810.26	        	I mean the whole ceiling is just packed with these helium balloons.
810.26 811.11	        	It was so much fun.
811.11 812.56	        	.. (H) So I walk in and I see,
812.56 814.54	        	.. two of the .. paddlers I definitely don't [wanna see].
814.05 814.56	LENORE: 	                                             [(Hx)]
814.56 816.46	ALINA:  	(H) One of which had a Halloween party,
816.46 817.41	        	I told her we're coming,
817.41 817.96	        	we show up,
817.96 819.46	        	she'd already left for another party.
819.46 821.17	        	.. I said why the hell didn't you tell me you were leaving.
821.17 821.77	        	(H) <VOX Oh,
821.77 822.47	        	well I thought you'd,
822.47 822.92	        	.. you know=,
822.92 824.18	        	m- I didn't think you were coming ~Alina VOX>.
824.18 825.42	        	I said if I say I'm showing up,
825.42 825.97	        	I show up.
825.97 828.07	        	We had to go some place for ~Hector's work first,
828.07 829.00	        	(H) you know,
829.00 829.95	        	The Wonder Years.
829.95 832.80	        	(H) .. (Hx) where I got insulted,
832.80 834.40	        	by this other little assistant <% twat,
834.40 835.45	        	who since has been fired,
835.45 836.40	        	thank G=od %>.
836.40 837.10	        	.. But anyway,
837.10 837.50	        	.. um,
837.50 838.17	        	@@@@
838.17 838.82	        	(H) then,
838.82 839.14	        	.. you know,
839.14 840.39	        	we showed up there and they were all gone.
840.39 841.74	        	.. That really irritated me.
841.74 843.24	        	... You know?
843.24 843.99	        	... X- X- --
843.99 844.64	        	.. What do you mean,
844.64 845.19	        	.. yes,
845.19 845.44	        	.. ha- --
845.44 846.18	        	.. I'm having a party,
846.18 846.84	        	come and you show up,
846.84 847.39	        	and there's nobody there.
847.39 848.52	LENORE: 	@@@[@@@@@
847.45 848.52	ALINA:  	[(H) But anyway,
848.52 849.22	LENORE: 	@@@@]
848.71 849.12	ALINA:  	um],
849.22 850.19	LENORE: 	(H) [2@@2]
849.53 850.21	ALINA:  	    [2she's sitting2] there,
850.21 850.82	        	and this other girl,
850.82 851.92	        	who's always [<VOX nyah nyah nyah VOX>.
851.22 852.34	LENORE: 	             [(H)=]
851.92 853.89	ALINA:  	.. So I] have this pair of suede pants that I got,
853.89 855.95	        	you've seen them probably <MRC ninety million times MRC>.
855.95 857.40	        	I got those from Sak's Fifth off,
857.40 858.23	        	they're m=en's.
858.23 859.71	LENORE: 	@@@@@[@@ @]
858.97 860.67	ALINA:  	     [You know there's nothing gr]eat about those [2pants,
860.32 860.81	LENORE: 	                                                  [2@@2]
860.67 861.46	ALINA:  	and they're2] f=ilthy.
861.46 862.71	        	And there's p=arts in them,
862.71 863.03	        	[you know],
862.80 863.03	LENORE: 	[(Hx)]
863.03 863.15	ALINA:  	where --
863.15 864.88	        	[I mean they use substandard stuff,
863.16 867.04	LENORE: 	[@@@@@@@@@@@]
864.88 865.28	ALINA:  	so there's % --
865.28 865.58	        	.. you know,
865.58 867.11	        	these goofy little white <VOX spots VOX>],
867.11 867.43	        	and everything,
867.43 868.38	        	(H) and they're going,
868.38 868.78	        	.. <VOX oh,
868.78 869.00	        	~Alina,
869.00 869.99	        	you look [so ch=ic,
869.29 870.23	LENORE: 	         [(Hx)=]
869.99 871.25	ALINA:  	in your] suede pants VOX>.
871.25 871.56	        	And I'm going,
871.56 871.71	        	<VOX oh,
871.71 871.96	        	yeah,
871.96 872.91	        	real ch=ic VOX>.
872.91 873.06	        	You know,
873.06 873.93	        	my hair's dirty,
873.93 875.10	        	I have it pulled back in a pony tail,
875.10 876.60	        	I know I look <VOX lovely VOX>.
876.60 879.17	        	[(H)] .. So I'm sitting there talking to these idiots for a while,
876.73 877.18	LENORE: 	[@@]
879.17 879.61	        	(SWALLOW)
879.61 879.91	ALINA:  	Then,
879.91 880.16	LENORE: 	(Hx)
880.16 882.01	ALINA:  	.. this new [wa=ve] of people comes in.
880.68 881.18	LENORE: 	            [(H)]
882.01 884.16	ALINA:  	... (TSK) And these three guy=s walk in and,
884.16 885.21	        	(H) one guy,
885.21 886.43	        	... was so geeky,
886.43 887.38	        	he's in a suit.
887.38 888.78	        	... Who the hell do you know,
888.78 889.93	        	goes to a party in a suit.
889.93 892.13	        	(H) I mean who .. is this g=eek.
892.13 893.31	        	(H) So anyway,
893.31 894.94	        	the .. other guy had a real nice shirt on,
894.94 896.04	        	and then there was some other geek.
896.04 897.59	        	(Hx) So the guy with the nice shirt .. came in,
897.59 898.59	        	and started talking to me,
898.59 900.19	        	and he t- his name's like !Billy !Mulholland,
900.19 900.69	        	or something,
900.69 901.44	        	and he's um,
901.44 902.74	        	from Bakersfield originally,
902.74 904.14	        	and !Joy's father had hired him to- --
904.14 904.89	        	.. to sell,
904.89 906.64	        	or !Joy had actually hired him to sell jewelry,
906.64 907.49	        	.. in Hawaii.
907.49 909.09	        	(H) .. from her father's store.
909.09 912.54	        	(H) (SNIFF) But now he's .. sells .. v_real estate in Malibu,
912.54 916.59	        	... (H) and he's got a painting con- % contracting= whatever,
916.59 916.99	        	.. and,
916.99 918.34	        	% one of the things that they're doing,
918.34 919.09	        	.. is um,
919.09 921.47	        	... (Hx) (TSK) is painting this building on Melrose,
921.47 923.30	        	so it looks like you can see through the wall,
923.30 923.65	        	cause there's,
923.65 924.15	        	you know,
924.15 925.79	        	.. (H) plastic first,
925.79 926.04	        	and then,
926.04 928.09	        	this stuff behind it or= whatever it is.
928.09 930.59	        	(H) But his renditions of <P homosexuals,
930.59 932.44	        	.. I thought .. I was gonna die P>.
932.44 932.94	        	.. <X And I X> --
932.94 933.44	        	I hadn't --
933.44 933.94	        	.. you know,
933.94 934.74	        	.. I just looked at him.
934.74 935.89	        	.. He was going on and on,
935.89 936.09	        	about,
936.09 937.09	        	(H) how these guys,
937.09 937.54	        	at his work,
937.54 938.74	        	cause he's down there supervising work,
938.74 939.78	        	and he looks out and these guys,
939.78 942.64	        	and he starts talking about their G-strings are showing through their tight leather pants,
942.64 942.94	        	and X,
942.94 944.73	        	(H) he was just going on and on and on.
944.73 945.98	        	And I was getting hysterical.
945.98 947.08	        	I was laughing so hard,
947.08 947.87	        	and I just finally looked at him,
947.87 948.12	        	and I said,
948.12 948.32	        	hey,
948.32 950.57	        	(H) I never even th=ought .. about it.
950.57 952.52	        	.. (H) Because I grew up in the Swish Alps.
952.52 953.17	        	(H) You [know?
952.94 955.78	LENORE: 	        [(H)= (Hx)=]
953.17 954.64	ALINA:  	.. We have been here our whole lives,
954.64 956.08	        	and I said I never knew anybody <X who X> was in the] closet,
956.08 958.53	        	because as far as I'm concerned they've always been %out of the closet.
958.53 960.13	        	(H) Well he couldn't handle this.
960.13 961.53	        	That I actually knew gay people.
961.53 962.53	        	He walked away from me.
962.53 964.53	LENORE: 	@[@@@@]@ [2God2].
963.33 964.53	ALINA:  	 [(H)=] [2So2] @ --
964.53 965.14	        	[3(H)3]
964.68 965.18	LENORE: 	[3(COUGH) (COUGH)3]
965.18 967.79	ALINA:  	The next guy that comes up and starts <VOX talking to me [is the] guy in the suit,
966.98 967.15	LENORE: 	 [(SWALLOW)]
967.79 968.96	ALINA:  	and it turns out he's from Georgia,
968.96 969.69	        	Atlanta Georgia,
969.69 970.74	        	and he's tal=king away to me,
970.74 972.12	        	and he- %his name is !DR VOX>.
972.12 973.09	        	... And I said,
973.09 973.29	        	oh,
973.29 973.99	        	like doctor?
973.99 974.99	        	.. And he goes <VOX exactly right VOX>.
974.99 976.63	        	.. He's a [thoracic surgeon,
975.51 977.07	LENORE: 	          [@@@@@]
976.63 977.85	ALINA:  	or some] .. [2horse manure,
977.44 978.45	LENORE: 	            [2@@@@@@2]
977.85 978.01	ALINA:  	but,
978.01 978.96	        	(H)2] meanwhile,
978.96 979.31	        	<X it's just X> like,
979.31 979.51	        	this --
979.51 980.37	        	.. right here in my face.
980.37 981.17	        	And I kept backing up,
981.17 981.53	        	[back]ing up,
981.20 981.38	LENORE: 	[%]
981.53 982.55	ALINA:  	and he's right [2here in my face,
981.94 982.49	LENORE: 	               [2(H)= (Hx)=2]
982.55 983.85	ALINA:  	and he keeps star2]ing at my chest,
983.85 984.20	        	and it's [3like3],
983.92 986.63	LENORE: 	         [3@3]@[4@@@@@@@4]
984.27 984.66	ALINA:  	             [4You know,
984.66 985.28	        	f=uck you,
985.28 985.86	        	asshole,
985.86 987.11	        	why don't you look at my <F fa4]=ce F>.
987.11 988.16	LENORE: 	@@ [5<@ Oh shit @>5].
987.18 989.88	ALINA:  	   [5(H)5] But he didn't believe me I was ma=r[6ried6].
989.73 990.28	LENORE: 	                                              [6(H)6]
990.28 990.98	ALINA:  	(H) I kept t- --
990.98 993.38	        	He's= talking about how we should carry on a [conversa]tion [2later,
992.48 992.63	LENORE: 	                                             [(THROAT)]
992.98 993.49	        	                                                            [2(THROAT)2]
993.38 993.69	ALINA:  	and I'm2] going,
993.69 994.09	        	no,
994.09 994.24	        	no,
994.24 994.70	        	I said I don't --
994.47 996.92	        	[You know] I really don't think my husband would appreciate that.
994.74 995.01	LENORE: 	[(Hx)]
996.92 997.27	ALINA:  	.. I said,
997.27 997.57	        	you know,
997.57 999.72	        	it's a little difficult [having three] in the same bedroom (Hx).
998.24 998.79	LENORE: 	                        [(H)]
999.72 1000.17	        	(H)
1000.17 1000.97	ALINA:  	.. (TSK) A- --
1000.97 1001.22	        	.. You know,
1001.22 1002.27	        	at least that's not my shtick.
1002.27 1003.07	        	(H) [But um],
1002.67 1002.87	LENORE: 	    [(Hx)]
1003.07 1003.90	ALINA:  	@@
1003.90 1004.20	        	he'[s --
1004.07 1004.65	LENORE: 	[(H)=]
1004.20 1005.20	ALINA:  	.. he didn't] believe me.
1005.20 1005.85	        	.. That I was married.
1005.85 1007.30	        	.. He thought I was giving him the brush-off.
1007.30 1008.05	        	.. That's c=ool.
1008.05 1009.76	        	(H) So they had their other friend come over and meet me,
1009.76 1010.46	        	who's a lawyer.
1010.46 1011.18	        	And it's really bizarre,
1011.18 1012.46	        	cause I guessed all of their ages,
1012.46 1013.86	        	and they were like .. blown away=.
1013.86 1015.01	        	(H) <X They were saying X>,
1015.01 1017.61	        	well that's what happens when you're this ... <VOX elderly age VOX>.
1017.61 1018.61	        	.. But um (Hx),
1018.61 1019.41	        	... meanwhile,
1019.41 1020.70	        	.. in had walked these two really s- --
1020.70 1022.10	        	.. kind of scruffy looking guy=s,
1022.10 1022.50	        	you know not --
1022.50 1024.00	        	.. (H) Cause these guys were all <<SNAP like +,
1024.00 1024.15	        	you know+,
1024.15 1025.25	        	<% Mister +Hip %> SNAP>>.
1025.25 1026.60	        	(H) And here comes these two other guys.
1026.60 1027.45	        	One's a Black guy,
1027.45 1030.15	        	... and one's this uh .. White guy with this beard.
1030.15 1030.40	LENORE: 	Uh-[oh].
1030.17 1031.72	ALINA:  	   [And he's] got like a Lorimar .. sweatshirt on.
1031.72 1033.47	        	(H)= So I'm sitting there and --
1033.47 1033.87	        	% the --
1033.87 1034.41	        	[(Hx) D-] --
1034.03 1034.57	LENORE: 	[Lorimar].
1034.57 1036.37	ALINA:  	!DR kept trying to talk to [me,
1036.17 1036.54	LENORE: 	                           [(Hx)=]
1036.37 1037.02	ALINA:  	talk] to me,
1037.02 1037.44	        	[2<X you know X>2] --
1037.03 1037.64	LENORE: 	[2!D2]R=,
1037.64 1038.46	ALINA:  	.. !DR doctor.
1038.46 1039.06	        	He is a doctor.
1039.06 1040.74	        	(H) [Yeah but that's all] he'd give his name for.
1039.45 1040.00	LENORE: 	    [(H)=]
1040.74 1041.00	        	[2<WH Oh,
1040.82 1041.07	ALINA:  	[2But,
1041.07 1041.87	LENORE: 	Go=d WH>2].
1041.07 1044.25	ALINA:  	he's .. had an2] ... interesting command of the English language,
1044.25 1046.03	        	because all double entendres.
1046.03 1047.28	        	... (H) You know,
1047.28 1048.98	        	but if you didn't understand your English,
1048.98 1050.08	        	you didn't understand what he was [saying,
1049.83 1050.32	LENORE: 	                                  [@@@@]
1050.08 1051.91	ALINA:  	so he was] actually a lot of fun to s_talk [2to.
1051.69 1052.06	LENORE: 	                                           [2(H)2]
1052.01 1052.88	ALINA:  	I2] had a good time with him.
1052.88 1053.58	        	That's actually even,
1053.58 1055.23	        	b- how we even started tal=king.
1055.23 1057.63	        	.. (H) And he started talking to one of the other paddlers,
1057.63 1059.48	        	who's k- probably going through a divorce this year,
1059.48 1061.48	        	... (TSK) and he used the same lines on her,
1061.48 1062.09	        	[and she didn't get it].
1061.48 1063.33	LENORE: 	[(H)=] .. @@@@ [2@Oh @well2].
1062.55 1063.85	ALINA:  	               [2(H)2] [3So you know,
1063.33 1064.17	LENORE: 	                       [3(H) @@@3]
1063.85 1065.22	ALINA:  	he was like3] .. really bored and left.
1065.22 1065.69	        	[4But anyway4],
1065.25 1066.20	LENORE: 	[4(H)4]=
1066.20 1068.16	ALINA:  	(TSK) I started talking to the Black guy.
1068.16 1069.61	        	... when !DR walked off,
1069.61 1070.41	        	(H) and --
1070.41 1070.98	        	%= you know,
1070.98 1072.33	        	all of a sudden you're .. realizing,
1072.33 1073.68	        	this guy is stringing sentences,
1073.68 1075.25	        	.. complicated sentences together,
1075.25 1076.15	        	.. (H) and --
1076.15 1078.30	        	.. y- he knows what you're talking abou=t,
1078.30 1078.60	        	and,
1078.60 1079.40	        	he's dropping,
1079.40 1080.91	        	(H) .. literary terms,
1080.91 1081.71	        	and names,
1081.71 1082.41	        	and you're kind of going,
1082.41 1083.65	LENORE: 	... @[@]
1083.65 1084.85	ALINA:  	<MRC [where] are you from MRC>.
1084.85 1085.70	        	(H) He's a --
1085.70 1087.15	        	He's a= .. army brat.
1087.15 1088.55	        	... And has --
1088.55 1089.85	        	.. He speaks fluent German.
1089.85 1092.73	        	... He's lived in about thirty places.
1092.73 1093.93	        	.. (H) And I said God,
1093.93 1094.13	        	you know,
1094.13 1095.18	        	that must have really made you --
1095.18 1096.03	        	d- % .. you know,
1096.03 1096.43	        	it's --
1096.43 1098.39	        	.. you must have a .. good time at making new friends,
1098.39 1099.09	        	it's easy for you,
1099.09 1099.34	        	and he said,
1099.34 1099.69	        	oh yeah,
1099.69 1100.34	        	he had that,
1100.34 1100.54	        	but,
1100.54 1101.64	        	(H) also what it'd done,
1101.64 1103.29	        	is it caused him to be= introverted,
1103.29 1104.52	        	... so he read a lot.
1104.52 1105.39	        	when he was a kid.
