0.00 12.70	MARY:   	... God,
1113.05 1114.81	        	... <VOX Oh,
1114.81 1115.43	        	shoot VOX>.
1115.43 1118.27	        	... Well isn't there any way,
1118.27 1118.73	        	like we --
1118.73 1120.94	        	.. that we could just m=eet him up there and,
1120.94 1125.16	        	... (H) <YWN maybe YWN> (Hx) --
1125.16 1125.71	MARY:   	What,
1125.71 1126.57	        	bring him down?
1126.57 1128.49	ALICE:  	... Bring him down,
1128.49 1128.78	        	or,
1128.78 1131.90	        	... I don't wanna take your car.
1131.90 1136.90	MARY:   	... (DRINK) (Hx)
1136.90 1140.42	ALICE:  	... I was gonna ask you and m=om,
1140.42 1140.63	        	too,
1140.63 1141.80	        	if you could um,
1141.80 1146.87	        	... take care of !Trace for a couple days next week.
1146.87 1148.91	MARY:   	... (TSK) Oh?
1148.91 1149.62	        	... What you got in mind.
1149.62 1152.48	ALICE:  	... I need to get caught up on my work.
1152.48 1156.15	MARY:   	... (DRINK) Wednesday I have an appointment at nine thirty.
1156.15 1158.28	ALICE:  	... Mom's off,
1158.28 1158.85	        	isn't she?
1158.85 1159.83	MARY:   	... Oh,
1159.83 1160.82	        	that's righ=t.
1160.82 1165.03	        	... That's right.
1165.03 1166.46	ALICE:  	... Yeah I think that'd,
1166.46 1171.41	        	... I think that'd um,
1171.41 1173.50	        	... (TSK) work out,
1173.50 1177.97	        	... like if she had to go shopping or something maybe you could go with her,
1177.97 1179.10	        	and help her with him?
1179.10 1182.90	        	... And !Nicky helps her .. with him a lot anyway.\000000000 000000000 MARY: 1182.90 1186.92	        	... And then of course he [adores] me.
1186.01 1186.66	ALICE:  	                          [(Hx)]
1186.92 1187.82	        	... Mhm.
1187.82 1192.21	MARY:   	... (H) I remember I was pregnant with !Nicky.
1192.21 1194.00	        	... (SWALLOW) And uh=,
1194.00 1195.06	        	!Boots's little boy,
1195.06 1196.69	        	... he really liked me.
1196.69 1197.34	ALICE:  	Mhm.
1197.34 1198.44	MARY:   	... when I was pregnant with her?
1198.44 1199.13	ALICE:  	Mhm.
1199.13 1200.99	MARY:   	... % You know how it is when we're pregnant,
1200.99 1202.52	        	we ... get real sleepy?
1202.52 1203.36	ALICE:  	Mhm.
1203.36 1205.58	MARY:   	... (TSK) (H) I'd fall asleep on the couch,
1205.58 1206.61	        	and he'd lay by me.
1206.61 1207.23	ALICE:  	... Mhm.
1207.23 1208.68	MARY:   	.. And he'd fall asleep with me.
1208.68 1211.84	        	... And I remember he would --
1211.84 1212.53	        	... I woke up,
1212.53 1213.51	        	and here he was gone,
1213.51 1215.20	        	his mother carried him in the other room,
1215.20 1215.77	ALICE:  	.. @Mhm.
1215.77 1216.63	MARY:   	... and God,
1216.63 1218.34	        	that kind of pissed me off.
1218.34 1220.05	ALICE:  	... (H) Was --
1220.05 1220.82	        	Would u=m,
1220.82 1224.53	        	... Was !Nicky mad when !Trace was a boy=?
1224.53 1226.38	MARY:   	... Kind of.
1226.38 1233.84	        	... (H)= She thinks I should have twins.
1233.84 1234.95	        	... Twin girls.
1234.95 1237.76	ALICE:  	... (COUGH COUGH)
1237.76 1241.42	MARY:   	... But I don't think she'll realize the uh,
1241.42 1243.68	        	... sibling rivalry.
1243.68 1244.41	ALICE:  	(Hx)
1244.41 1246.18	MARY:   	... But I don't know,
1246.18 1247.69	        	.. she's six years old now.
1247.69 1250.53	        	... And they say that if there's six years between children,
1250.53 1251.96	        	there's not that much rivalry.
1251.96 1254.40	ALICE:  	... After four there's almost none.
1254.40 1255.17	MARY:   	... Really?
1255.17 1256.32	ALICE:  	.. Mhm.
1256.32 1258.86	MARY:   	... [Cause they're],
1258.19 1259.39	ALICE:  	    [Four is i]deal.
1259.39 1261.49	MARY:   	... they're kind of in different worlds,
1261.49 1262.16	ALICE:  	... Yeah.
1262.16 1265.35	        	... Because,
1265.35 1266.76	        	... see,
1266.76 1267.72	        	!Trace will be,
1267.72 1270.01	        	... the next time I have a baby,
1270.01 1273.31	        	... !Trace will probably be=,
1273.31 1279.41	        	... about three?
1279.41 1279.98	        	.. four?
1279.98 1280.65	MARY:   	... Hm.
1280.65 1285.42	ALICE:  	... That's when I'm gonna get this shit taken out.
1285.42 1287.36	MARY:   	(TSK) (H)
1287.36 1290.73	ALICE:  	... (H) !Tammy !Kashen has one of these too.
1290.73 1292.37	MARY:   	... What is it.
1292.37 1293.14	ALICE:  	... Norplant?
1293.14 1294.40	MARY:   	... Oh really.
1294.40 1296.45	ALICE:  	... !Deon told me.
1296.45 1302.48	        	... Cause I asked him what ... his intentions were with her.
1302.48 1306.85	        	... Cause I told him I thought he was too young to be ... so involved.
1306.85 1310.55	MARY:   	... (H)= ... !Gwen was telling me that,
1310.55 1311.75	        	... Did she talk to you lately?
1311.75 1312.24	ALICE:  	Hm-m.
1312.24 1314.93	MARY:   	... They had a cyst on her ovary.
1314.93 1318.27	        	... And they had to go in and take it out?
1318.27 1318.84	ALICE:  	... Mhm.
1318.84 1320.57	MARY:   	... Take out that cyst?
1320.57 1320.99	ALICE:  	[Mhm].
1320.78 1323.64	MARY:   	[(H)] ... (SWALLOW) And it's really screwed up her uh,
1323.64 1325.57	ALICE:  	... menstrual p- --
1325.57 1326.19	        	[cycle]?
1325.68 1326.50	MARY:   	[her cy]cle,
1326.50 1327.04	        	her=,
1327.04 1329.56	        	... her= ... hormones?
1329.56 1330.05	ALICE:  	Unhunh.
1330.05 1332.59	MARY:   	(H) And they said that she might have to get pregnant again,
1332.59 1333.73	        	just to straighten it out.
1333.73 1335.91	ALICE:  	... <WH @@ WH>
1335.91 1339.06	MARY:   	... (H)= ... So,
1339.06 1339.89	        	.. and then she goes,
1339.89 1340.72	        	... <Q so tell --
1340.72 1341.58	        	tell !Deon Q>.
1341.58 1342.92	        	And she really laughed.
1342.92 1344.37	ALICE:  	(H) (Hx)
1344.37 1348.72	MARY:   	... (TSK) I don't know if !Tammy would be too happy with that though.
1348.72 1355.13	        	... (SWALLOW) Seems to me that she's trying to straighten herself out,
1355.13 1355.77	        	and,
1355.77 1357.06	        	... pursue a family.
1357.06 1358.14	ALICE:  	... Tammy?
1358.14 1360.83	MARY:   	... (TSK) What do you think.
1360.83 1362.86	ALICE:  	... I don't know (Hx).
1362.86 1368.07	MARY:   	... (TSK) Or do you think it might be a matter of convenience.
1368.07 1370.73	ALICE:  	... I think it's a convenience for both of em.
1370.73 1373.30	MARY:   	... Yeah=?
1373.30 1376.13	        	... Yeah=?
1376.13 1378.73	ALICE:  	... It's also a convenience for !Cookie.
1378.73 1379.79	MARY:   	... Oh yeah=.
1379.79 1379.79	        	...
