0.00 1.24	KEVIN:  	Is that just [carbonated water]?
428.12 428.90	KENDRA:                [3What is this3].
429.69 431.04        ... s- Feels like a pair and a spare,
431.04 431.44        [dad].
430.71 431.05	WENDY:  [@]
431.44 431.99	KENDRA: [2Ha ha2].
431.74 432.46	KEVIN:  [2Pair and a spare2].
431.43 432.00	KEN:    [2<X Yeah.
432.00 432.44	        Good X>2].
432.44 432.97	        .. [3Good3].
432.53 433.77	KENDRA:    [3<@ You got a3] wor=d here @>.
433.81 434.36	        @
434.57 434.92	MARCI:  .. @
436.49 437.46	KENDRA: ... [Uh-oh].
434.51 435.30	KENDRA: 	... XX
435.30 437.40	        	... [Uh_oh].
435.30 437.70	KEN:    	    [Oh=]=.
437.70 438.15	        	Yeah.
438.15 440.10	KENDRA: 	... We're talking .. ba=king mon[ster.
439.77 441.52	KEVIN:  	[<SING Tollhouse Mors][2els SING>2].
439.77 442.49	MARCI:  	[It's de=finitely] [2more than a2] pair and a spa[3re3].
440.10 440.93	KENDRA: 	We're talking=],
442.39 443.59	        	                                                 [3<SM Coo3]kie Monster=.
443.59 444.99	        	Appease the monster=.
444.99 446.61	        	[Ho=ly cow=][2= SM>2].
444.99 447.45	KEVIN:  	[Oh=][2=2][3=3][4=4].
446.07 447.07	KEN:    	            [2Yay2][3=3],
447.07 447.81	        	               [4holy4] [5cow5].
447.07 449.16	KENDRA: 	               [4A cook4][5ie ba5][6king se=t6].
447.07 448.93	MARCI:  	               [4Al4][5=5][6righ=t.
448.93 450.31	        	Al=6]righ=t.
450.31 454.36	KENDRA: 	.. Mm=[7=7][8=8][9=9][=].
452.16 453.16	KEVIN:  	      [7Rubber7] [8Mai=d8].
452.51 453.16	MARCI:  	           [8Oh=8].
453.16 454.13	        	                [9Let me see it9].
453.16 454.13	KEN:    	                [9@@@9]
453.16 454.92	KEVIN:  	                [9You can't squa9][sh it] %(Hx).
454.92 456.02	KENDRA: 	... Mm=.
456.02 456.52	MARCI:  	[Oh,
456.02 457.57	KENDRA: 	[Rubber Mai=d].
456.52 457.57	MARCI:  	neat=].
457.57 459.17	KEVIN:  	... Twelve [2pieces2].
458.32 459.17	KENDRA: 	           [2Yay PAPER>>2].
459.17 460.47	KEVIN:  	(GASP)=
460.47 461.16	KEN:    	.. That's [X][2X2],
460.76 461.84	MARCI:  	          [Oh] [2th2][3at's X3].
460.82 461.84	KENDRA: 	             [2<<PAPER Wow2][3=3].
460.96 463.01	KEVIN:  	                     [3Oh that includes3] all the teaspoons [4though4].
462.68 463.53	MARCI:  	                                                            [4In4] blue.
463.53 464.48	KENDRA: 	.. <VOX In blue=,
464.48 465.45	        	[that's not my color VOX>].
464.48 465.70	WENDY:  	[<VOX It's not gr]een,
465.70 466.50	        	I'm sorry VOX>.
466.50 466.95	KENDRA: 	(TSK) .. PAPER>>
466.95 468.05	MARCI:  	They don't [come in] [2green2].
467.35 469.20	KEVIN:  	           [We bought] [2it be2][3fore you had an apartment3].
467.80 468.70	KENDRA: 	                     [2No my2] [3plates are blue,
468.75 469.50	        	that's ok3]ay.
469.50 470.07	        	... That's okay,
470.07 471.05	        	my plates are blue.
471.05 472.95	MARCI:  	... She's gonna do blue a=nd green.
472.95 474.10	        	.. She doesn't [<P need green P>].
473.47 474.10	KENDRA: 	               [Well in the k_] __
474.10 476.35	        	cause I've got a [2big yellow duck for my @kit2][3chen,
474.50 476.10	WENDY:  	                 [2You can use this for your muffins=2].
476.10 476.36	KEVIN:  	                                                [3Go ahead,
476.36 476.80	        	open it up.
476.80 477.05	        	We_3] __
476.35 477.05	KENDRA: 	@too3].
477.05 478.10	KEVIN:  	We all want to play with them.
478.10 478.70	WENDY:  	@@@
478.70 479.80	MARCI:  	.. [@@@@]
479.10 479.80	WENDY:  	   [<X It needs a X>] __
479.20 480.75	KENDRA: 	   [<VOX It looks like you] ha=ve [2@been2].
480.20 480.75	WENDY:  	                                  [2@2]
480.75 481.77	KEN:    	@[3@@@@3]
481.05 482.15	KENDRA: 	 [3What are you telling3] me VOX>.
482.15 482.60	KEVIN:  	I have.
482.60 483.60	KENDRA: 	.. [Here= buddy].
482.90 483.55	WENDY:  	   [(H) (Hx)]
483.60 484.45	        	I .. [2wanted to2] open it,
483.82 484.17	KENDRA: 	     [2X2]
484.45 486.45	WENDY:  	make sure it was d=ecent enough for my [3s_ __
486.25 487.78	KEVIN:  	                                       [3We used all of them before.
486.45 487.40	WENDY:  	.. my sister_in_law.
487.40 487.80	        	<@ Yeah3].
487.80 487.93	        	Well,
487.93 489.20	        	this is all recycled @>.
489.20 490.02	KENDRA: 	.. %Uh %uh.
490.02 490.48	        	It's a,
490.48 491.35	        	.. [It's a kni]=fe[2=,
490.55 491.00	WENDY:  	   [(H)]
491.10 493.35	KEVIN:  	                  [2W_ in fact we've been using the2]m for sever[3al years3].
491.35 492.15	KENDRA: 	Be careful2].
492.55 493.45	WENDY:  	                                                                [3@3]=
493.45 494.84	KEN:    	[4@@@@@@4][5@@5]
493.53 494.48	KEVIN:  	[4We're just trying to get rid of em4].
494.48 495.58	KENDRA: 	          [5@@5][6@@6]
494.73 495.58	WENDY:  	                [6@!Kevin6].
494.73 497.40	MARCI:  	                [6@@6][7@7][8@@@8][9@@@9]
495.58 495.88	KEN:    	                      [7@7]
495.58 496.38	KENDRA: 	                      [7I was7] [8wondering,
496.38 496.68	        	ma=n8].
496.68 497.40	KEVIN:  	                                  [9@9]
497.40 498.09	WENDY:  	@(H)
498.09 499.25	MARCI:  	!Kevin you're [aw=ful].
498.60 499.50	KEN:    	              [very clev]er.
499.50 501.35	        	... Oo.
501.35 501.98	KEVIN:  	.. Whoa.
501.98 503.07	        	[That's the] real McCoy.
502.00 502.31	KEN:    	[X] __
503.07 505.37	KENDRA: 	... <VOX This is the knife,
505.37 507.32	        	.. @that you use [for birthday=s],
506.24 507.54	KEVIN:  	                 [(H)= (THROAT)]=
507.54 508.34	WENDY:  	@@[2@2]
508.09 508.34	KEVIN:  	  [2(TSK)2]
508.34 508.86	MARCI:  	[3@@3]
508.39 509.75	KENDRA: 	[3this is the3] spoo=n VOX>,
509.75 510.90	WENDY:  	@[4=@4]
510.30 512.10	KEVIN:  	 [4Looks like !Wendy's4] hair is on it (Hx).
510.10 510.50	KEN:    	 [4Yeah,
510.50 510.95	        	that's right4],
512.10 512.90	WENDY:  	... Where.
512.90 513.74	KENDRA: 	.. !Wendo[=],
513.40 514.35	KEVIN:  	         [Is this] your hai=r?
514.35 515.60	        	... Sure [2is2].
515.40 516.88	KENDRA: 	         [2Oh2] it's a piece [3of !Wendy's hair3].
516.02 516.88	WENDY:  	                             [3@@3]
516.02 517.62	KEVIN:  	                             [3@@3][4@=4]
516.88 517.62	KENDRA: 	                                   [4<X Cool X>4].
517.62 519.37	KEVIN:  	.. (H) [5That shows somebody was in there5].
517.92 518.77	KENDRA: 	       [5And you can tell,
518.77 519.22	        	(H)5]
519.37 520.14	KEVIN:  	[6That's for sure6].
519.32 521.28	KENDRA: 	[6This is going through6] [7the washing machine7].
519.52 520.65	WENDY:  	[6<HI I did go6] [7in there,
520.65 522.04	        	I wanted to make7] sure it was okay HI>.
522.08 522.31	KEVIN:  	[8@8]
522.04 523.19	WENDY:  	[8Or %I8] wanted to make sure [9it wasn't,
522.93 525.08	KEVIN:  	                              [9@@ You left your little telltale9] [sign @].
523.19 523.49	WENDY:  	.. like,
523.49 524.52	        	.. gonna fall apart9].
524.52 525.09	MARCI:  	                                                                   [And just think],
525.09 527.03	        	[2you can use the bowl2] [3for a wash3]tub.
525.18 526.08	KEN:    	[2@@@2]
526.08 526.68	KEVIN:  	                         [3(SNIFF)3]
527.03 527.73	WENDY:  	% .. @
527.73 530.91	MARCI:  	@[@@][2@@2][3@@@3]@[4@@@@4]
528.03 528.40	KENDRA: 	 [@@]
528.40 529.67	        	     [2For2] [3my ca=t3].
528.70 528.93	KEVIN:  	           [3Well,
528.93 529.67	        	if you're lucky3].
529.72 531.11	KENDRA: 	                   [4What are you talking ab4][5out5].
530.91 532.46	KEVIN:  	[5Can you5] have a [6cat in your6] apartment?
531.46 532.03	MARCI:  	                   [6(H)6]
532.46 534.41	KENDRA: 	.. I'm gonna have a cat in my apartment.
534.41 535.01	KEVIN:  	.. Can you,
535.01 535.61	        	.. by law,
535.61 536.81	        	[have a c]at in your apartment.
535.71 535.96	KENDRA: 	[Yeah].
536.81 537.11	        	.. Yeah.
537.11 537.71	KEVIN:  	.. Well that's helpful.
537.71 538.21	KEN:    	That's nice.
538.21 539.51	KENDRA: 	It's only a hundred and fifty bu=cks,
539.51 540.81	        	... I think I can afford it.
540.81 541.72	KEVIN:  	... [A year]?
540.81 542.53	MARCI:  	    [Appease] [2the monster.
541.72 543.37	WENDY:  	              [2That is micro2][3wavab3][4le4].
542.82 543.17	KENDRA: 	                               [3No3].
542.53 543.37	MARCI:  	That2] [3was3] [4good4].
543.17 543.67	KEN:    	                                        [4(THROAT)4][5=5]
543.37 543.92	KENDRA: 	                                                    [5Only5] one time.
544.17 544.78	        	[6This is6]?
543.92 545.37	MARCI:  	[6Appease the6] [7monster7].
543.92 545.64	WENDY:  	[6(H) That's ..6] [7microwav7]able.
545.64 546.14	        	... Yes.
546.14 546.94	        	.. Microwavable,
546.94 547.79	        	(H) chef.
547.79 548.94	        	.. Eight_ounce measuring cup.
548.94 550.64	        	.. Is virtually <VOX unbreakable VOX>.
550.64 551.24	KEVIN:  	.. Virtu[ally.
551.04 551.82	WENDY:  	        [That's for @you].
551.24 552.14	KEVIN:  	Let's find] [2out2].
551.82 553.52	KENDRA: 	            [2@@2]@@ [3<@ Let's check it out3].
552.52 553.52	MARCI:  	                     [3@@@@ (H)3]
553.52 554.67	KENDRA: 	Is that what you were doing in here @>?
554.67 556.77	MARCI:  	(H) Don't drop it [on my kitchen floor].
555.60 556.82	KENDRA: 	                  [<Q It's not gonna brea=k Q>].
556.82 559.02	MARCI:  	.. Everything breaks on my kitchen floor.
559.02 559.72	WENDY:  	.. Does [2it2]?
559.54 560.14	KENDRA: 	        [2Look at2] this.
560.14 560.79	        	.. Da=ng,
560.79 561.19	        	oh=.
561.19 562.24	        	Big [bow=l here,
561.46 562.41	WENDY:  	    [You're se=t].
562.24 562.86	KENDRA: 	ki]=ds.
562.86 563.26	WENDY:  	.. You're set_ __
563.26 565.11	        	[% I said you can use this for your] muffins.
563.26 564.33	KENDRA: 	[Wow=].
565.11 566.21	WENDY:  	.. You can brea[2k it i=n2].
565.52 567.06	KEVIN:  	               [2Put your Nestle2] Morsels in there.
567.06 567.91	KENDRA: 	Oh=.
567.91 570.11	MARCI:  	... Then you can't get them so quick.
570.11 571.01	KENDRA: 	.. Why'd I get % __
571.01 571.61	        	... I got __
571.61 573.36	        	.. I'm gonna have to bake cookies.
573.36 574.16	        	<VOX @@@ VOX>
574.16 574.29	KEVIN:  	[No,
574.16 575.08	KENDRA: 	[(H) I can te=ll,
574.29 575.58	KEVIN:  	you'll have to wait until you can] __
575.08 576.66	KENDRA: 	my first] Saturday [2in my new apartment2],
575.98 576.63	WENDY:  	                   [2@@@2]
576.66 577.53	KENDRA: 	I='ll be celebrating,
577.53 578.03	        	and [I'll go],
577.55 578.03	WENDY:  	    [@@]
578.03 578.73	KENDRA: 	<Q<A what am I gonna do.
578.73 579.24	        	.. What am I gonna do A>Q>.
579.15 579.57	WENDY:  	[@]
579.20 580.03	KENDRA: 	[(H)] And then I'll go,
580.03 581.19	WENDY:  	[2(H) <VOX I'm gonna clea=n.
580.03 582.06	KENDRA: 	[2(H) <VOX I'm baking cookies VOX>2].
581.19 582.26	WENDY:  	(H) I'm gonna bake cook2]ies.
582.26 583.02	        	[3I'll have fun VOX>3].
582.41 583.32	KEVIN:  	[3Al=righ=t3].
582.26 583.39	KENDRA: 	[3I'll have every neigh3][4bor,
583.29 586.17	MARCI:  	[4And then you'll find your ts_ ts_ ts_ stove doesn't4] work,
583.39 584.37	KENDRA: 	.. for miles around,
584.37 585.82	        	(SNIFF) (SNIFF) (SNIFF) (SNIFF) (SNIFF) (SNIFF)4]
586.17 586.82	MARCI:  	or so[5mething5].
586.37 588.17	KEN:    	     [5@@5][6@@6][7@7][8@8][9@9]
586.41 586.77	KENDRA: 	     [5Yeah5],
586.77 587.67	        	           [6probab6][7ly=7].
587.30 587.42	WENDY:  	                 [7Oh,
587.42 588.17	        	that's7] [8ni8][9=ce9].
587.92 589.12	KENDRA: 	                           [9That's the9] best time to find out,
589.12 589.42	        	boy,
589.42 590.17	        	let me tell you.
590.17 590.87	KEN:    	@@@
590.87 593.37	KENDRA: 	... <<THUMP + +++ .. That's a good,
593.37 596.17	        	... + THUMP>> [This is good for pop]corn.
595.12 595.82	WENDY:  	              [That'll hold up].
596.17 597.17	KENDRA: 	... Hmm.
597.17 597.57	        	Popcorn.
597.57 598.02	WENDY:  	.. XX
598.02 599.12	KEVIN:  	Al=[righ=t].
598.32 598.67	KENDRA: 	   [Mm.
598.32 599.59	WENDY:  	   [And now= you can] look at __
598.67 599.12	KENDRA: 	Popcorn].
599.59 600.16	KENDRA: 	.. (H) No,
600.17 601.34	        	my kitchen's [2not gonna2] __
600.82 602.16	KEVIN:  	             [2Is it just2] like you always wanted?
602.16 602.87	KENDRA: 	... Oh=,
602.87 604.41	        	it's just like I always [wa=nted].
603.88 604.41	MARCI:  	                        [!Kendie],
604.56 604.85	KEVIN:  	[2Good2].
604.41 605.49	MARCI:  	[2close your2] eye=s.
605.49 605.92	KENDRA: 	.. Oh,
605.92 607.21	        	does this mean it's not wrapped?
607.06 607.35	WENDY:  	@[@]
607.25 607.50	MARCI:  	 [Yeah][2=2],
607.33 607.81	KENDRA: 	       [2Coo2][3=l3].
607.50 609.03	MARCI:  	              [3this is3] the cake that's coming.
609.03 612.18	KENDRA: 	... I thought you already brought the cake in.
612.18 612.68	WENDY:  	.. (Hx)
612.68 612.98	MARCI:  	No,
612.98 614.08	        	that was the gift.
614.08 617.83	        	... Okay,
617.83 618.80	        	[open your eyes].
617.83 618.80	KENDRA: 	[Tell me when I can look].
618.80 622.55	        	... (SCREAM) @[2@2][3=3]
622.02 622.25	KEN:    	              [2@2]
622.12 623.10	MARCI:  	              [2@2][3@3]@@@@
623.10 623.91	KENDRA: 	[3<VOX Oh3].
623.10 623.91	MARCI:  	[3@3]
623.10 623.91	KEN:    	[3@3]
623.91 624.04	MARCI:  	@
624.04 624.71	WENDY:  	My[=].
624.15 624.71	KENDRA: 	  [Coo=l VOX>].
624.71 625.86	        	I can [2clean my apartment2].
624.88 625.20	KEVIN:  	      [2 Go ahead,
625.20 625.76	        	try it out2].
625.86 626.98	WENDY:  	[3Here I thought we were3] [4gonna gi4]_ __
625.86 626.47	MARCI:  	[3@@@3]
626.47 627.67	KEVIN:  	                           [4Let's find out4] if it [5works5].
627.17 629.72	WENDY:  	                                                    [5We have5] grandma='s ... vacuum cleaner.
629.72 630.97	MARCI:  	... (H) <SM<VOX Oh=,
630.97 632.62	        	and you were gonna give that to her?
632.62 633.32	WENDY:  	That's fine.
633.32 633.87	MARCI:  	[Oh I n_ __
633.32 634.74	WENDY:  	[Then she doesn't have to wait forever,
633.87 634.89	MARCI:  	.. No=].
634.74 635.79	WENDY:  	for] ou[2=rs2].
635.21 635.81	MARCI:  	       [2Yeah2]= VOX>SM>.
635.81 636.21	KENDRA: 	[3<VOX Cool,
635.81 636.26	KEVIN:  	[3Your fl_ __
636.21 636.66	KENDRA: 	dude VOX>3].
636.26 638.14	KEVIN:  	Your floor3] could get prett[4y dir4]ty in six months.
637.13 637.28	MARCI:  	                            [4(H)4]
638.14 638.94	KEN:    	[5@5][6@6][7@7]
638.16 638.65	MARCI:  	[5!Kendie5][6=6],
638.53 638.70	WENDY:  	     [6@6]
638.70 639.50	KENDRA: 	          [7Let me7] tell [8you8].
639.08 639.50	MARCI:  	                          [8!Kendie8],
639.50 641.35	        	.. it's a [9used9] vacuu=m,
639.90 640.42	KENDRA: 	          [9XX9]
641.35 641.80	        	.. [(GASP)]
641.35 642.87	MARCI:  	   [it's a] good bra=nd,
642.87 643.28	KENDRA: 	.. [2(GASP)2]
642.87 644.82	MARCI:  	   [2(H) y2]ou can get the ba=gs at,
644.82 646.49	        	.. at .. United Vacuum?
646.49 647.64	KENDRA: 	I have to buy ba=gs?
647.64 648.29	MARCI:  	... N-yeah,
648.29 649.34	KENDRA: 	... I'm not gonna have money.
649.34 649.94	        	... Not bud[geted].
649.64 651.03	WENDY:  	           [(H)] Honey they last forever.
651.03 651.62	KEVIN:  	Sanitaire.
651.62 652.24	WENDY:  	[Well you better].
651.75 653.28	MARCI:  	[There's a good] ba=g in it.
653.28 653.88	WENDY:  	... That's what you got __
653.88 654.38	        	.. That's [what y_] ____
654.07 655.83	MARCI:  	          [Step] on the little thing on the right,
655.83 656.54	KEVIN:  	.. Does it have a headlight?
656.54 657.28	MARCI:  	on the left,
657.28 658.98	        	... I don't think [so].
658.39 658.73	KEVIN:  	                  [Oh,
658.73 658.98	        	okay].
658.98 660.03	KENDRA: 	... Where did it go.
660.03 661.10	MARCI:  	[and turn it on].
660.21 661.10	KENDRA: 	[<VOX Where'd you get this VOX>].
661.10 663.45	KEVIN:  	... Turn it o=n.
663.45 664.16	KENDRA: 	.. [Where's] __
663.45 665.91	MARCI:  	   [I think] [2maybe it turns2] [3on at the foot3]?
664.17 664.91	WENDY:  	             [2@ @They @bought __
664.91 665.56	        	(H)2] [3They picked __
665.03 665.53	KEVIN:  	                                [3You kick __
665.56 665.94	WENDY:  	.. They picked3] __
665.53 666.24	KEVIN:  	.. Kick3] that [4th_ __
666.19 667.05	KEN:    	               [4Push it down again4],
666.33 667.55	KEVIN:  	Kick the button on4] the [5foot5].
667.19 667.55	WENDY:  	                         [5%=5]
667.33 668.07	KEN:    	                         [5Push5] it down [6again,
667.83 668.08	WENDY:  	                                          [6!Kendra,
668.07 668.67	KEN:    	and it'll start6].
668.08 669.17	WENDY:  	they picked it up6] at a gar_ __
669.17 669.91	        	.. trash dump,
669.91 670.35	KEVIN:  	[No,
669.91 671.02	WENDY:  	[<@ and had it rebuilt @>].
670.35 671.76	KEVIN:  	the black] button on the __
671.76 672.36	KENDRA: 	.. [2Ah2].
671.97 672.36	MARCI:  	   [2Th t_2] __
672.36 673.36	        	.. one on [3top3].
672.73 673.51	>ENV:   	          [3((VACUUM-CLEANER-STARTS))3]
673.51 674.51	KEVIN:  	... <F Whoa=.
674.51 675.21	        	.. power= F>.
675.21 676.81	MARCI:  	.. It is a powerful,
676.81 679.06	WENDY:  	... Lookit.
679.06 679.36	        	St_ wait.
679.36 680.21	        	We gotta get a picture.
680.21 681.41	        	.. Kendra is cleaning.
681.41 684.26	MARCI:  	@@[@@@@@@@@] @@[2@2]
681.88 683.48	KEN:    	  [@@@@]
681.88 683.48	WENDY:  	  [@@@ @@]
681.88 682.51	KEVIN:  	  [Whoa,
682.51 683.48	        	I'm impressed].
684.03 685.03	        	               [2I'm2] amazed.
685.03 685.96	KENDRA: 	.. I used to do this,
685.96 687.44	        	[but XXXXXX XXXX].
685.96 687.44	MARCI:  	[Don't fill your bag up],
687.44 687.89	        	dear.
687.89 688.79	KENDRA: 	... Oh yeah,
688.79 689.19	        	ma=n,
689.19 690.19	        	this house is dirty.
690.19 691.19	MARCI:  	... @@@
691.19 691.89	>ENV:   	((VACUUM-CLEANER-STOPS))
691.89 692.99	WENDY:  	That's [ni=ce].
692.31 693.16	KEVIN:  	       [Al][2righ=t2].
692.73 695.17	KEN/KEV: 	           [2<<CLAP ++2]+ [3+++++++ CLAP>>3].
693.45 695.07	KEN:    	                          [3Yay=3].
693.50 693.92	MARCI:  	                          [3It's __
694.02 694.94	        	It's all metal,
694.94 697.50	        	so3] [4it's almost im4]pervious [5to destruction5].
695.17 696.07	KEVIN:  	     [4Let's take an offering4].
696.52 697.50	KEN:    	                                [5@ @@5]
697.50 698.44	MARCI:  	[6number one=6],
697.50 698.27	KENDRA: 	[6Just one owner,
698.27 698.71	        	or6] what.
698.71 699.99	MARCI:  	... [7Number two,
699.09 700.94	KEN:    	    [7@@@@ <@ recently owned @>7],
699.99 702.04	MARCI:  	it's warranteed7] [8for a year8].
700.94 701.94	KEVIN:  	                  [8<@She8] __
700.94 702.04	KEN:    	                  [8@@@8]
702.04 702.37	KEVIN:  	[9She __
702.04 702.36	KENDRA: 	[9From __
702.37 703.30	KEVIN:  	She was an old lady9],
702.36 703.30	KENDRA: 	Where did you get it from9]?
703.30 704.84	KEVIN:  	       [who only took it out on weekends @>].
703.30 704.84	MARCI:  	       [United Vacuum].
704.84 705.87	KEN:    	           @[2@2][3@3]
705.14 705.85	KEVIN:  	            [2@2][3=3]
705.19 705.97	KENDRA: 	            [2XX2] [3XXX3],
705.52 705.97	MARCI:  	                 [3I3] __
705.97 706.13	KENDRA: 	     [4man4].
705.97 707.70	KEVIN:  	     [4@4][5@@@ @@5]
706.21 708.01	MARCI:  	          [5He put a new cord on5] it,
708.01 708.26	KEN:    	@
708.26 708.57	KENDRA: 	[Yeah]?
708.26 708.98	MARCI:  	[a]=nd,
708.98 710.66	        	a new= .. be=lt,
710.66 711.93	        	.. and a new ba=g=,
711.93 713.18	        	.. completely new bag,
713.18 715.73	        	(H) and he w_ .. warrantees it for a year,
715.73 716.58	        	I g_ % __
716.58 717.67	        	.. For the money I had,
717.67 719.20	        	I couldn't afford .. a new one,
719.20 722.35	        	and I [didn't] want to get a thirty_four dollar job from Target,
719.47 719.82	KENDRA: 	      [Right].
722.35 724.97	MARCI:  	[2that you'd have to2] [3crawl around on your hands3] and knees.
722.35 722.86	KENDRA: 	[2XX Yeah2].
722.86 723.26	WENDY:  	                       [3This'll __
723.26 724.21	        	That'll be great3].
724.97 726.56	MARCI:  	(H)[4= Thi4]s one is a good one.
725.21 725.51	KENDRA: 	   [4Okay4].
726.56 726.92	        	[5Yeah5].
726.56 728.56	KEVIN:  	[5That looks5] like an in[6dustrial strength one6].
727.40 728.56	WENDY:  	                         [6That'll last forever6].
727.34 728.56	KENDRA: 	                         [6XXXX6]
728.56 729.21	        	... [7Yeah,
728.96 729.87	MARCI:  	    [7It's heavy duty7].
729.21 730.25	KENDRA: 	I think that'll be really7] [8good8].
729.90 730.25	WENDY:  	                            [8I don't know8],
730.25 732.15	        	.. grandma had this one up in her attic.
732.15 733.37	        	... So I don't know [how] [2old it2] is.
732.52 732.72	MARCI:  	                    [@]
732.87 733.12	KENDRA: 	                          [2(COUGH)2]
733.37 734.37	MARCI:  	Or how it will work.
734.37 734.67	        	Yeah=.
734.67 734.92	WENDY:  	[Oh it] __
734.67 735.57	KEVIN:  	[Oh it's] [2been running for_ __
734.92 735.17	KENDRA: 	          [2You_ __
734.92 735.97	WENDY:  	          [2Oh ours works wonder_2] __
735.17 735.97	KENDRA: 	Have you guys used it2]?
735.57 736.27	KEVIN:  	.. for2] [3years.
735.97 736.27	WENDY:  	         [3Oh y_ __
736.27 736.42	KEVIN:  	Yeah3].
736.27 737.17	WENDY:  	I3] [4use it now4].
736.42 737.02	KENDRA: 	    [4Oh okay4].
737.17 737.87	WENDY:  	... No,
737.87 738.37	        	I wasn't gonna __
738.37 738.52	        	y_ __
738.52 739.12	        	I wasn't __
739.12 740.62	        	I was gonna [w_ have to give it to you] later.
739.49 740.24	KEN:    	            [Which grandma].
740.62 740.99	KEVIN:  	[2!Anir2].
740.62 741.37	WENDY:  	[2If she2] [3wanted it3].
740.99 741.17	KENDRA: 	           [3Now,
741.17 741.87	        	where's3] it from?
741.87 742.25	        	.. What's the __
742.25 743.00	        	[Where's the] [2place <X mom X>2]?
742.25 742.85	WENDY:  	[Grandma] [2!Anir2].
742.55 743.53	MARCI:  	              [2United2] Vacuum,
743.53 744.57	        	on Colosseum,
744.57 746.72	        	right .. beside .. where the ol=d,
746.72 747.32	        	u=[m],
747.17 748.10	KENDRA: 	  [It's] off of North Quinn,
748.10 748.60	        	isn't it?
748.60 749.25	MARCI:  	.. No,
749.25 751.25	        	right where Pier .. One used to be?
751.25 752.45	        	... Pier One Imports?
752.45 753.20	KENDRA: 	.. Oh really.
753.20 753.57	MARCI:  	[Mhm].
753.20 756.75	KEVIN:  	[You guys] won't [2believe what2] happened to us in [3the parking lot of the3] mall the other day.
753.84 754.24	WENDY:  	                 [2Oh2].
754.95 755.99	        	                                                    [3by the Goodwill store3].
756.75 757.49	KENDRA: 	.. (THROAT) X
757.49 759.24	KEVIN:  	... Some guy came out and he_ he was,
759.24 759.91	        	@[=]
759.57 759.91	WENDY:  	 [<HI Oh HI>].
759.91 761.66	KEVIN:  	he was trying to sell us cologne [2f_2] __
761.43 762.10	KENDRA: 	                                 [2(COUGH)2] [3(COUGH)3]
761.43 761.64	WENDY:  	                                 [2No2],
761.64 763.32	        	                                             [3he wasn't3] trying to sell [4us co4]lo[5gne5],
762.64 762.92	KEVIN:  	                                                                          [4Well it_4] __
763.17 763.46	        	                                                                                     [5No5]=,
763.46 764.37	        	I guess he was trying to like,
764.37 766.87	        	lure us to a .. place where they would sell,
766.87 767.12	        	like,
767.12 768.32	        	.. imitation cologne,
768.32 768.68	        	but he said,
768.68 769.67	        	<Q it's not imitation,
769.67 770.09	        	be[cause] Q>,
769.78 770.65	MARCI:  	  [<VOX I got] [2a2] deal,
770.09 770.28	WENDY:  	               [2<X Yeah X>2].
770.65 771.81	MARCI:  	you can't [3refu=se VOX>3].
771.03 773.03	KEVIN:  	          [3because it's=3] [4made4] [5by the same peo5]ple,
771.81 772.09	MARCI:  	                            [4@4]
771.81 772.09	WENDY:  	                            [4I mean4],
772.09 772.79	        	                                     [5this kid was5],
773.03 774.03	        	[6He looked like a=6],
773.03 774.47	KEVIN:  	[6but it's put in different6] bottle[7s?
774.42 775.77	WENDY:  	                                    [7kind of a sloppy kind of guy7].
774.47 774.97	KEVIN:  	And I'm like,
774.97 776.32	        	.. <VOX what are you doing7] out here VOX>.
776.32 777.37	WENDY:  	.. (H) I mean he wasn't,
777.37 778.37	        	% .. he was dressed in like,
778.37 779.30	        	old jeans,
779.30 779.96	        	and a old jacket,
779.96 781.54	        	he just looked like [.. a vagabond].
780.70 782.12	KEVIN:  	                    [(H) He pulled out this d]uffle bag,
782.12 782.87	        	@and @I'm like,
782.87 784.12	        	<Q are you trying to se[ll us something Q>?
783.49 784.09	WENDY:  	                       [And I was like,
784.09 784.75	        	I was ready to],
784.12 784.42	KEVIN:  	And he's like,
784.42 784.64	        	no=,
784.64 785.72	        	I] [2just want you to smell it2].
784.75 785.95	WENDY:  	   [2grab !Kevin and ru2][3=n3].
784.75 786.19	MARCI:  	   [2I wonder <X if he'd X> ripped2] [3it3] off,
786.19 786.69	        	in the,
786.69 787.49	        	.. in the sto=re.
787.49 788.32	KEVIN:  	... No=.
788.32 788.49	WENDY:  	No,
788.49 789.03	        	because he w_ __
789.03 789.97	        	he wasn't trying to sell it,
789.97 790.52	        	.. he was just saying,
790.52 792.21	        	does this smell like .. Drakkar,
792.21 792.52	        	.. or,
792.52 793.04	        	.. whatever,
793.04 793.97	        	(H) because,
793.97 795.22	        	... they're gonna o_ __
795.22 795.57	        	try % __
795.57 797.47	        	see if there's a market for this sto=re,
797.47 798.37	        	.. that they want to open,
798.37 799.17	        	.. down the road,
799.17 800.12	        	.. that [sells],
799.39 800.47	KEVIN:  	        [So he's a marketing] agent.
800.47 802.55	        	@[2= @@@@2]
801.15 802.55	WENDY:  	 [2He's an MA @@2].
801.55 802.77	KEN:    	 [2@@@2]@
802.77 804.09	        	(H) [3<@ He's an3] [4MA @>4].
803.02 803.24	KEVIN:  	    [3Oh=,
803.24 803.84	        	he's an M3][4A=.
803.56 804.29	KENDRA: 	                 [4MA4][5=5].
803.56 804.29	WENDY:  	                 [4@@@4][5@5]
